"tag","dn_pval","ds_pval","dn_es","ds_es","dn_Cliff","ds_Cliff","N"
"yeast",8.05091420225403e-05,0.138281918142942,0.0546989416652998,0.0205625954336281,0.0666514030915008,0.0250559064180089,5196
"fruitfly",2.33642441111831e-10,0.878858714657325,0.0610809191871324,0.00146900742052968,0.0707191907258362,-0.00107211808409172,10765
"human",1.04732086987094e-10,0.00698063779961958,0.0487547466716129,0.0203606471157246,0.0644782771755479,0.0269270223061321,17556
